# us 0.1.0 golden corpus - kernel Select (UniversalSqueaker). Lines: scenario|mode|domain|action|seed|gate|eggs|soundKey|tier|poolStableKey; '-' = none.
# Rebuilt by tools/UniversalSqueakerKernelTests; scenarios frozen in Scenarios.cs (S1-S7 constructed, two-race equal routing). Any delta on replay = regression.
S1-empty|Off|US_Race_A|Wounded|1|partial|off|US_Fallback_Wounded|BuiltInFallback|-
S1-empty|Off|US_Race_A|Wounded|2|all|off|US_Fallback_Wounded|BuiltInFallback|-
S1-empty|Off|US_Race_A|Wounded|2|partial|off|US_Fallback_Wounded|BuiltInFallback|-
S1-empty|Off|US_Race_A|Wounded|3|all|off|US_Fallback_Wounded|BuiltInFallback|-
S1-empty|Off|US_Race_A|Wounded|3|partial|off|US_Fallback_Wounded|BuiltInFallback|-
S1-empty|Off|US_Race_A|Wounded|1|all|on|US_Fallback_Wounded|BuiltInFallback|-
S1-empty|Off|US_Race_A|Wounded|1|partial|on|US_Fallback_Wounded|BuiltInFallback|-
S1-empty|Off|US_Race_A|Wounded|2|all|on|US_Fallback_Wounded|BuiltInFallback|-
S1-empty|Off|US_Race_A|Wounded|2|partial|on|US_Fallback_Wounded|BuiltInFallback|-
S1-empty|Off|US_Race_A|Wounded|3|all|on|US_Fallback_Wounded|BuiltInFallback|-
S1-empty|Off|US_Race_A|Wounded|3|partial|on|US_Fallback_Wounded|BuiltInFallback|-
S1-empty|Off|US_Race_A|Select|1|all|off|US_Fallback_Select|BuiltInFallback|-
S1-empty|Off|US_Race_A|Select|1|partial|off|US_Fallback_Select|BuiltInFallback|-
S1-empty|Off|US_Race_A|Select|2|all|off|US_Fallback_Select|BuiltInFallback|-
S1-empty|Off|US_Race_A|Select|2|partial|off|US_Fallback_Select|BuiltInFallback|-
S1-empty|Off|US_Race_A|Select|3|all|off|US_Fallback_Select|BuiltInFallback|-
S1-empty|Off|US_Race_A|Select|3|partial|off|US_Fallback_Select|BuiltInFallback|-
S1-empty|Off|US_Race_A|Select|1|all|on|US_Fallback_Select|BuiltInFallback|-
S1-empty|Off|US_Race_A|Select|1|partial|on|US_Fallback_Select|BuiltInFallback|-
S1-empty|Off|US_Race_A|Select|2|all|on|US_Fallback_Select|BuiltInFallback|-
S1-empty|Off|US_Race_A|Select|2|partial|on|US_Fallback_Select|BuiltInFallback|-
S1-empty|Off|US_Race_A|Select|3|all|on|US_Fallback_Select|BuiltInFallback|-
S1-empty|Off|US_Race_A|Select|3|partial|on|US_Fallback_Select|BuiltInFallback|-
S1-empty|Off|US_Race_A|Move|1|all|off|US_Fallback_Move|BuiltInFallback|-
S1-empty|Off|US_Race_A|Move|1|partial|off|US_Fallback_Move|BuiltInFallback|-
S1-empty|Off|US_Race_A|Move|2|all|off|US_Fallback_Move|BuiltInFallback|-
S1-empty|Off|US_Race_A|Move|2|partial|off|US_Fallback_Move|BuiltInFallback|-
S1-empty|Off|US_Race_A|Move|3|all|off|US_Fallback_Move|BuiltInFallback|-
S1-empty|Off|US_Race_A|Move|3|partial|off|US_Fallback_Move|BuiltInFallback|-
S1-empty|Off|US_Race_A|Move|1|all|on|US_Fallback_Move|BuiltInFallback|-
S1-empty|Off|US_Race_A|Move|1|partial|on|US_Fallback_Move|BuiltInFallback|-
S1-empty|Off|US_Race_A|Move|2|all|on|US_Fallback_Move|BuiltInFallback|-
S1-empty|Off|US_Race_A|Move|2|partial|on|US_Fallback_Move|BuiltInFallback|-
S1-empty|Off|US_Race_A|Move|3|all|on|US_Fallback_Move|BuiltInFallback|-
S1-empty|Off|US_Race_A|Move|3|partial|on|US_Fallback_Move|BuiltInFallback|-
S1-empty|Off|US_Race_A|Social|1|all|off|US_Fallback_Social|BuiltInFallback|-
S1-empty|Off|US_Race_A|Social|1|partial|off|US_Fallback_Social|BuiltInFallback|-
S1-empty|Off|US_Race_A|Social|2|all|off|US_Fallback_Social|BuiltInFallback|-
S1-empty|Off|US_Race_A|Social|2|partial|off|US_Fallback_Social|BuiltInFallback|-
S1-empty|Off|US_Race_A|Social|3|all|off|US_Fallback_Social|BuiltInFallback|-
S1-empty|Off|US_Race_A|Social|3|partial|off|US_Fallback_Social|BuiltInFallback|-
S1-empty|Off|US_Race_A|Social|1|all|on|US_Fallback_Social|BuiltInFallback|-
S1-empty|Off|US_Race_A|Social|1|partial|on|US_Fallback_Social|BuiltInFallback|-
S1-empty|Off|US_Race_A|Social|2|all|on|US_Fallback_Social|BuiltInFallback|-
S1-empty|Off|US_Race_A|Social|2|partial|on|US_Fallback_Social|BuiltInFallback|-
S1-empty|Off|US_Race_A|Social|3|all|on|US_Fallback_Social|BuiltInFallback|-
S1-empty|Off|US_Race_A|Social|3|partial|on|US_Fallback_Social|BuiltInFallback|-
S1-empty|Off|US_Race_A|Joy|1|all|off|US_Fallback_Joy|BuiltInFallback|-
S1-empty|Off|US_Race_A|Joy|1|partial|off|US_Fallback_Joy|BuiltInFallback|-
S1-empty|Off|US_Race_A|Joy|2|all|off|US_Fallback_Joy|BuiltInFallback|-
S1-empty|Off|US_Race_A|Joy|2|partial|off|US_Fallback_Joy|BuiltInFallback|-
S1-empty|Off|US_Race_A|Joy|3|all|off|US_Fallback_Joy|BuiltInFallback|-
S1-empty|Off|US_Race_A|Joy|3|partial|off|US_Fallback_Joy|BuiltInFallback|-
S1-empty|Off|US_Race_A|Joy|1|all|on|US_Fallback_Joy|BuiltInFallback|-
S1-empty|Off|US_Race_A|Joy|1|partial|on|US_Fallback_Joy|BuiltInFallback|-
S1-empty|Off|US_Race_A|Joy|2|all|on|US_Fallback_Joy|BuiltInFallback|-
S1-empty|Off|US_Race_A|Joy|2|partial|on|US_Fallback_Joy|BuiltInFallback|-
S1-empty|Off|US_Race_A|Joy|3|all|on|US_Fallback_Joy|BuiltInFallback|-
S1-empty|Off|US_Race_A|Joy|3|partial|on|US_Fallback_Joy|BuiltInFallback|-
S1-empty|Off|US_Race_A|Death|1|all|off|US_Fallback_Death|BuiltInFallback|-
S1-empty|Off|US_Race_A|Death|1|partial|off|US_Fallback_Death|BuiltInFallback|-
S1-empty|Off|US_Race_A|Death|2|all|off|US_Fallback_Death|BuiltInFallback|-
S1-empty|Off|US_Race_A|Death|2|partial|off|US_Fallback_Death|BuiltInFallback|-
S1-empty|Off|US_Race_A|Death|3|all|off|US_Fallback_Death|BuiltInFallback|-
S1-empty|Off|US_Race_A|Death|3|partial|off|US_Fallback_Death|BuiltInFallback|-
S1-empty|Off|US_Race_A|Death|1|all|on|US_Fallback_Death|BuiltInFallback|-
S1-empty|Off|US_Race_A|Death|1|partial|on|US_Fallback_Death|BuiltInFallback|-
S1-empty|Off|US_Race_A|Death|2|all|on|US_Fallback_Death|BuiltInFallback|-
S1-empty|Off|US_Race_A|Death|2|partial|on|US_Fallback_Death|BuiltInFallback|-
S1-empty|Off|US_Race_A|Death|3|all|on|US_Fallback_Death|BuiltInFallback|-
S1-empty|Off|US_Race_A|Death|3|partial|on|US_Fallback_Death|BuiltInFallback|-
S1-empty|Off|US_Race_A|Draft|1|all|off|US_Fallback_Draft|BuiltInFallback|-
S1-empty|Off|US_Race_A|Draft|1|partial|off|US_Fallback_Draft|BuiltInFallback|-
S1-empty|Off|US_Race_A|Draft|2|all|off|US_Fallback_Draft|BuiltInFallback|-
S1-empty|Off|US_Race_A|Draft|2|partial|off|US_Fallback_Draft|BuiltInFallback|-
S1-empty|Off|US_Race_A|Draft|3|all|off|US_Fallback_Draft|BuiltInFallback|-
S1-empty|Off|US_Race_A|Draft|3|partial|off|US_Fallback_Draft|BuiltInFallback|-
S1-empty|Off|US_Race_A|Draft|1|all|on|US_Fallback_Draft|BuiltInFallback|-
S1-empty|Off|US_Race_A|Draft|1|partial|on|US_Fallback_Draft|BuiltInFallback|-
S1-empty|Off|US_Race_A|Draft|2|all|on|US_Fallback_Draft|BuiltInFallback|-
S1-empty|Off|US_Race_A|Draft|2|partial|on|US_Fallback_Draft|BuiltInFallback|-
S1-empty|Off|US_Race_A|Draft|3|all|on|US_Fallback_Draft|BuiltInFallback|-
S1-empty|Off|US_Race_A|Draft|3|partial|on|US_Fallback_Draft|BuiltInFallback|-
S1-empty|Off|US_Race_A|Undraft|1|all|off|US_Fallback_Undraft|BuiltInFallback|-
S1-empty|Off|US_Race_A|Undraft|1|partial|off|US_Fallback_Undraft|BuiltInFallback|-
S1-empty|Off|US_Race_A|Undraft|2|all|off|US_Fallback_Undraft|BuiltInFallback|-
S1-empty|Off|US_Race_A|Undraft|2|partial|off|US_Fallback_Undraft|BuiltInFallback|-
S1-empty|Off|US_Race_A|Undraft|3|all|off|US_Fallback_Undraft|BuiltInFallback|-
S1-empty|Off|US_Race_A|Undraft|3|partial|off|US_Fallback_Undraft|BuiltInFallback|-
S1-empty|Off|US_Race_A|Undraft|1|all|on|US_Fallback_Undraft|BuiltInFallback|-
S1-empty|Off|US_Race_A|Undraft|1|partial|on|US_Fallback_Undraft|BuiltInFallback|-
S1-empty|Off|US_Race_A|Undraft|2|all|on|US_Fallback_Undraft|BuiltInFallback|-
S1-empty|Off|US_Race_A|Undraft|2|partial|on|US_Fallback_Undraft|BuiltInFallback|-
S1-empty|Off|US_Race_A|Undraft|3|all|on|US_Fallback_Undraft|BuiltInFallback|-
S1-empty|Off|US_Race_A|Undraft|3|partial|on|US_Fallback_Undraft|BuiltInFallback|-
S1-empty|Off|US_Race_A|Attack|1|all|off|US_Fallback_Attack|BuiltInFallback|-
S1-empty|Off|US_Race_A|Attack|1|partial|off|US_Fallback_Attack|BuiltInFallback|-
S1-empty|Off|US_Race_A|Attack|2|all|off|US_Fallback_Attack|BuiltInFallback|-
S1-empty|Off|US_Race_A|Attack|2|partial|off|US_Fallback_Attack|BuiltInFallback|-
S1-empty|Off|US_Race_A|Attack|3|all|off|US_Fallback_Attack|BuiltInFallback|-
S1-empty|Off|US_Race_A|Attack|3|partial|off|US_Fallback_Attack|BuiltInFallback|-
S1-empty|Off|US_Race_A|Attack|1|all|on|US_Fallback_Attack|BuiltInFallback|-
S1-empty|Off|US_Race_A|Attack|1|partial|on|US_Fallback_Attack|BuiltInFallback|-
S1-empty|Off|US_Race_A|Attack|2|all|on|US_Fallback_Attack|BuiltInFallback|-
S1-empty|Off|US_Race_A|Attack|2|partial|on|US_Fallback_Attack|BuiltInFallback|-
S1-empty|Off|US_Race_A|Attack|3|all|on|US_Fallback_Attack|BuiltInFallback|-
S1-empty|Off|US_Race_A|Attack|3|partial|on|US_Fallback_Attack|BuiltInFallback|-
S1-empty|Off|US_Race_A|Work|1|all|off|US_Fallback_Work|BuiltInFallback|-
S1-empty|Off|US_Race_A|Work|1|partial|off|US_Fallback_Work|BuiltInFallback|-
S1-empty|Off|US_Race_A|Work|2|all|off|US_Fallback_Work|BuiltInFallback|-
S1-empty|Off|US_Race_A|Work|2|partial|off|US_Fallback_Work|BuiltInFallback|-
S1-empty|Off|US_Race_A|Work|3|all|off|US_Fallback_Work|BuiltInFallback|-
S1-empty|Off|US_Race_A|Work|3|partial|off|US_Fallback_Work|BuiltInFallback|-
S1-empty|Off|US_Race_A|Work|1|all|on|US_Fallback_Work|BuiltInFallback|-
S1-empty|Off|US_Race_A|Work|1|partial|on|US_Fallback_Work|BuiltInFallback|-
S1-empty|Off|US_Race_A|Work|2|all|on|US_Fallback_Work|BuiltInFallback|-
S1-empty|Off|US_Race_A|Work|2|partial|on|US_Fallback_Work|BuiltInFallback|-
S1-empty|Off|US_Race_A|Work|3|all|on|US_Fallback_Work|BuiltInFallback|-
S1-empty|Off|US_Race_A|Work|3|partial|on|US_Fallback_Work|BuiltInFallback|-
S1-empty|Off|US_Race_A|Equip|1|all|off|US_Fallback_Equip|BuiltInFallback|-
S1-empty|Off|US_Race_A|Equip|1|partial|off|US_Fallback_Equip|BuiltInFallback|-
S1-empty|Off|US_Race_A|Equip|2|all|off|US_Fallback_Equip|BuiltInFallback|-
S1-empty|Off|US_Race_A|Equip|2|partial|off|US_Fallback_Equip|BuiltInFallback|-
S1-empty|Off|US_Race_A|Equip|3|all|off|US_Fallback_Equip|BuiltInFallback|-
S1-empty|Off|US_Race_A|Equip|3|partial|off|US_Fallback_Equip|BuiltInFallback|-
S1-empty|Off|US_Race_A|Equip|1|all|on|US_Fallback_Equip|BuiltInFallback|-
S1-empty|Off|US_Race_A|Equip|1|partial|on|US_Fallback_Equip|BuiltInFallback|-
S1-empty|Off|US_Race_A|Equip|2|all|on|US_Fallback_Equip|BuiltInFallback|-
S1-empty|Off|US_Race_A|Equip|2|partial|on|US_Fallback_Equip|BuiltInFallback|-
S1-empty|Off|US_Race_A|Equip|3|all|on|US_Fallback_Equip|BuiltInFallback|-
S1-empty|Off|US_Race_A|Equip|3|partial|on|US_Fallback_Equip|BuiltInFallback|-
S1-empty|Off|US_Race_A|MentalBreak|1|all|off|US_Fallback_MentalBreak|BuiltInFallback|-
S1-empty|Off|US_Race_A|MentalBreak|1|partial|off|US_Fallback_MentalBreak|BuiltInFallback|-
S1-empty|Off|US_Race_A|MentalBreak|2|all|off|US_Fallback_MentalBreak|BuiltInFallback|-
S1-empty|Off|US_Race_A|MentalBreak|2|partial|off|US_Fallback_MentalBreak|BuiltInFallback|-
S1-empty|Off|US_Race_A|MentalBreak|3|all|off|US_Fallback_MentalBreak|BuiltInFallback|-
S1-empty|Off|US_Race_A|MentalBreak|3|partial|off|US_Fallback_MentalBreak|BuiltInFallback|-
S1-empty|Off|US_Race_A|MentalBreak|1|all|on|US_Fallback_MentalBreak|BuiltInFallback|-
S1-empty|Off|US_Race_A|MentalBreak|1|partial|on|US_Fallback_MentalBreak|BuiltInFallback|-
S1-empty|Off|US_Race_A|MentalBreak|2|all|on|US_Fallback_MentalBreak|BuiltInFallback|-
S1-empty|Off|US_Race_A|MentalBreak|2|partial|on|US_Fallback_MentalBreak|BuiltInFallback|-
S1-empty|Off|US_Race_A|MentalBreak|3|all|on|US_Fallback_MentalBreak|BuiltInFallback|-
S1-empty|Off|US_Race_A|MentalBreak|3|partial|on|US_Fallback_MentalBreak|BuiltInFallback|-
S1-empty|Off|US_Race_A|Crying|1|all|off|-|-|-
S1-empty|Off|US_Race_A|Crying|1|partial|off|-|-|-
S1-empty|Off|US_Race_A|Crying|2|all|off|-|-|-
S1-empty|Off|US_Race_A|Crying|2|partial|off|-|-|-
S1-empty|Off|US_Race_A|Crying|3|all|off|-|-|-
S1-empty|Off|US_Race_A|Crying|3|partial|off|-|-|-
S1-empty|Off|US_Race_A|Crying|1|all|on|-|-|-
S1-empty|Off|US_Race_A|Crying|1|partial|on|-|-|-
S1-empty|Off|US_Race_A|Crying|2|all|on|-|-|-
S1-empty|Off|US_Race_A|Crying|2|partial|on|-|-|-
S1-empty|Off|US_Race_A|Crying|3|all|on|-|-|-
S1-empty|Off|US_Race_A|Crying|3|partial|on|-|-|-
S1-empty|Off|US_Race_A|Giggling|1|all|off|-|-|-
S1-empty|Off|US_Race_A|Giggling|1|partial|off|-|-|-
S1-empty|Off|US_Race_A|Giggling|2|all|off|-|-|-
S1-empty|Off|US_Race_A|Giggling|2|partial|off|-|-|-
S1-empty|Off|US_Race_A|Giggling|3|all|off|-|-|-
S1-empty|Off|US_Race_A|Giggling|3|partial|off|-|-|-
S1-empty|Off|US_Race_A|Giggling|1|all|on|-|-|-
S1-empty|Off|US_Race_A|Giggling|1|partial|on|-|-|-
S1-empty|Off|US_Race_A|Giggling|2|all|on|-|-|-
S1-empty|Off|US_Race_A|Giggling|2|partial|on|-|-|-
S1-empty|Off|US_Race_A|Giggling|3|all|on|-|-|-
S1-empty|Off|US_Race_A|Giggling|3|partial|on|-|-|-
S1-empty|Fallback|US_Race_A|Call|1|all|off|US_Fallback_Call|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Call|1|partial|off|US_Fallback_Call|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Call|2|all|off|US_Fallback_Call|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Call|2|partial|off|US_Fallback_Call|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Call|3|all|off|US_Fallback_Call|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Call|3|partial|off|US_Fallback_Call|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Call|1|all|on|US_Fallback_Call|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Call|1|partial|on|US_Fallback_Call|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Call|2|all|on|US_Fallback_Call|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Call|2|partial|on|US_Fallback_Call|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Call|3|all|on|US_Fallback_Call|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Call|3|partial|on|US_Fallback_Call|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Eat|1|all|off|US_Fallback_Eat|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Eat|1|partial|off|US_Fallback_Eat|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Eat|2|all|off|US_Fallback_Eat|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Eat|2|partial|off|US_Fallback_Eat|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Eat|3|all|off|US_Fallback_Eat|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Eat|3|partial|off|US_Fallback_Eat|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Eat|1|all|on|US_Fallback_Eat|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Eat|1|partial|on|US_Fallback_Eat|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Eat|2|all|on|US_Fallback_Eat|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Eat|2|partial|on|US_Fallback_Eat|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Eat|3|all|on|US_Fallback_Eat|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Eat|3|partial|on|US_Fallback_Eat|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Sleep|1|all|off|US_Fallback_Sleep|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Sleep|1|partial|off|US_Fallback_Sleep|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Sleep|2|all|off|US_Fallback_Sleep|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Sleep|2|partial|off|US_Fallback_Sleep|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Sleep|3|all|off|US_Fallback_Sleep|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Sleep|3|partial|off|US_Fallback_Sleep|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Sleep|1|all|on|US_Fallback_Sleep|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Sleep|1|partial|on|US_Fallback_Sleep|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Sleep|2|all|on|US_Fallback_Sleep|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Sleep|2|partial|on|US_Fallback_Sleep|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Sleep|3|all|on|US_Fallback_Sleep|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Sleep|3|partial|on|US_Fallback_Sleep|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Wounded|1|all|off|US_Fallback_Wounded|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Wounded|1|partial|off|US_Fallback_Wounded|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Wounded|2|all|off|US_Fallback_Wounded|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Wounded|2|partial|off|US_Fallback_Wounded|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Wounded|3|all|off|US_Fallback_Wounded|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Wounded|3|partial|off|US_Fallback_Wounded|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Wounded|1|all|on|US_Fallback_Wounded|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Wounded|1|partial|on|US_Fallback_Wounded|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Wounded|2|all|on|US_Fallback_Wounded|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Wounded|2|partial|on|US_Fallback_Wounded|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Wounded|3|all|on|US_Fallback_Wounded|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Wounded|3|partial|on|US_Fallback_Wounded|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Select|1|all|off|US_Fallback_Select|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Select|1|partial|off|US_Fallback_Select|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Select|2|all|off|US_Fallback_Select|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Select|2|partial|off|US_Fallback_Select|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Select|3|all|off|US_Fallback_Select|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Select|3|partial|off|US_Fallback_Select|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Select|1|all|on|US_Fallback_Select|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Select|1|partial|on|US_Fallback_Select|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Select|2|all|on|US_Fallback_Select|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Select|2|partial|on|US_Fallback_Select|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Select|3|all|on|US_Fallback_Select|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Select|3|partial|on|US_Fallback_Select|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Move|1|all|off|US_Fallback_Move|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Move|1|partial|off|US_Fallback_Move|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Move|2|all|off|US_Fallback_Move|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Move|2|partial|off|US_Fallback_Move|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Move|3|all|off|US_Fallback_Move|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Move|3|partial|off|US_Fallback_Move|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Move|1|all|on|US_Fallback_Move|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Move|1|partial|on|US_Fallback_Move|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Move|2|all|on|US_Fallback_Move|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Move|2|partial|on|US_Fallback_Move|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Move|3|all|on|US_Fallback_Move|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Move|3|partial|on|US_Fallback_Move|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Social|1|all|off|US_Fallback_Social|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Social|1|partial|off|US_Fallback_Social|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Social|2|all|off|US_Fallback_Social|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Social|2|partial|off|US_Fallback_Social|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Social|3|all|off|US_Fallback_Social|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Social|3|partial|off|US_Fallback_Social|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Social|1|all|on|US_Fallback_Social|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Social|1|partial|on|US_Fallback_Social|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Social|2|all|on|US_Fallback_Social|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Social|2|partial|on|US_Fallback_Social|BuiltInFallback|-
S1-empty|Fallback|US_Race_A|Social|3|all|on|US_Fallback_Social|BuiltInFallback|-
