# 0.3.0 golden corpus - kernel Select (SqueakPoolRegistry). Lines: scenario|mode|domain|action|seed|gate|soundKey|tier|poolStableKey; '-' = none.
# Rebuilt by tools/KernelCharacterization; scenarios frozen in Scenarios.cs (S1-S5 constructed, F03-F07 fixture-driven from fixtures/input). Any delta on replay = regression.
S1-empty|Off|Ratkin|Select|2|partial|SR_Select|BuiltInFallback|-
S1-empty|Off|Ratkin|Select|3|all|SR_Select|BuiltInFallback|-
S1-empty|Off|Ratkin|Select|3|partial|SR_Select|BuiltInFallback|-
S1-empty|Off|Ratkin|Move|1|all|SR_Move|BuiltInFallback|-
S1-empty|Off|Ratkin|Move|1|partial|SR_Move|BuiltInFallback|-
S1-empty|Off|Ratkin|Move|2|all|SR_Move|BuiltInFallback|-
S1-empty|Off|Ratkin|Move|2|partial|SR_Move|BuiltInFallback|-
S1-empty|Off|Ratkin|Move|3|all|SR_Move|BuiltInFallback|-
S1-empty|Off|Ratkin|Move|3|partial|SR_Move|BuiltInFallback|-
S1-empty|Off|Ratkin|Social|1|all|SR_Social|BuiltInFallback|-
S1-empty|Off|Ratkin|Social|1|partial|SR_Social|BuiltInFallback|-
S1-empty|Off|Ratkin|Social|2|all|SR_Social|BuiltInFallback|-
S1-empty|Off|Ratkin|Social|2|partial|SR_Social|BuiltInFallback|-
S1-empty|Off|Ratkin|Social|3|all|SR_Social|BuiltInFallback|-
S1-empty|Off|Ratkin|Social|3|partial|SR_Social|BuiltInFallback|-
S1-empty|Off|Ratkin|Joy|1|all|SR_Joy|BuiltInFallback|-
S1-empty|Off|Ratkin|Joy|1|partial|SR_Joy|BuiltInFallback|-
S1-empty|Off|Ratkin|Joy|2|all|SR_Joy|BuiltInFallback|-
S1-empty|Off|Ratkin|Joy|2|partial|SR_Joy|BuiltInFallback|-
S1-empty|Off|Ratkin|Joy|3|all|SR_Joy|BuiltInFallback|-
S1-empty|Off|Ratkin|Joy|3|partial|SR_Joy|BuiltInFallback|-
S1-empty|Off|Ratkin|Death|1|all|SR_Death|BuiltInFallback|-
S1-empty|Off|Ratkin|Death|1|partial|SR_Death|BuiltInFallback|-
S1-empty|Off|Ratkin|Death|2|all|SR_Death|BuiltInFallback|-
S1-empty|Off|Ratkin|Death|2|partial|SR_Death|BuiltInFallback|-
S1-empty|Off|Ratkin|Death|3|all|SR_Death|BuiltInFallback|-
S1-empty|Off|Ratkin|Death|3|partial|SR_Death|BuiltInFallback|-
S1-empty|Off|Ratkin|Draft|1|all|SR_Draft|BuiltInFallback|-
S1-empty|Off|Ratkin|Draft|1|partial|SR_Draft|BuiltInFallback|-
S1-empty|Off|Ratkin|Draft|2|all|SR_Draft|BuiltInFallback|-
S1-empty|Off|Ratkin|Draft|2|partial|SR_Draft|BuiltInFallback|-
S1-empty|Off|Ratkin|Draft|3|all|SR_Draft|BuiltInFallback|-
S1-empty|Off|Ratkin|Draft|3|partial|SR_Draft|BuiltInFallback|-
S1-empty|Off|Ratkin|Undraft|1|all|SR_Undraft|BuiltInFallback|-
S1-empty|Off|Ratkin|Undraft|1|partial|SR_Undraft|BuiltInFallback|-
S1-empty|Off|Ratkin|Undraft|2|all|SR_Undraft|BuiltInFallback|-
S1-empty|Off|Ratkin|Undraft|2|partial|SR_Undraft|BuiltInFallback|-
S1-empty|Off|Ratkin|Undraft|3|all|SR_Undraft|BuiltInFallback|-
S1-empty|Off|Ratkin|Undraft|3|partial|SR_Undraft|BuiltInFallback|-
S1-empty|Off|Ratkin|Attack|1|all|SR_Attack|BuiltInFallback|-
S1-empty|Off|Ratkin|Attack|1|partial|SR_Attack|BuiltInFallback|-
S1-empty|Off|Ratkin|Attack|2|all|SR_Attack|BuiltInFallback|-
S1-empty|Off|Ratkin|Attack|2|partial|SR_Attack|BuiltInFallback|-
S1-empty|Off|Ratkin|Attack|3|all|SR_Attack|BuiltInFallback|-
S1-empty|Off|Ratkin|Attack|3|partial|SR_Attack|BuiltInFallback|-
S1-empty|Off|Ratkin|Work|1|all|SR_Work|BuiltInFallback|-
S1-empty|Off|Ratkin|Work|1|partial|SR_Work|BuiltInFallback|-
S1-empty|Off|Ratkin|Work|2|all|SR_Work|BuiltInFallback|-
S1-empty|Off|Ratkin|Work|2|partial|SR_Work|BuiltInFallback|-
S1-empty|Off|Ratkin|Work|3|all|SR_Work|BuiltInFallback|-
S1-empty|Off|Ratkin|Work|3|partial|SR_Work|BuiltInFallback|-
S1-empty|Off|Ratkin|Equip|1|all|SR_Equip|BuiltInFallback|-
S1-empty|Off|Ratkin|Equip|1|partial|SR_Equip|BuiltInFallback|-
S1-empty|Off|Ratkin|Equip|2|all|SR_Equip|BuiltInFallback|-
S1-empty|Off|Ratkin|Equip|2|partial|SR_Equip|BuiltInFallback|-
S1-empty|Off|Ratkin|Equip|3|all|SR_Equip|BuiltInFallback|-
S1-empty|Off|Ratkin|Equip|3|partial|SR_Equip|BuiltInFallback|-
S1-empty|Off|Ratkin|MentalBreak|1|all|SR_MentalBreak|BuiltInFallback|-
S1-empty|Off|Ratkin|MentalBreak|1|partial|SR_MentalBreak|BuiltInFallback|-
S1-empty|Off|Ratkin|MentalBreak|2|all|SR_MentalBreak|BuiltInFallback|-
S1-empty|Off|Ratkin|MentalBreak|2|partial|SR_MentalBreak|BuiltInFallback|-
S1-empty|Off|Ratkin|MentalBreak|3|all|SR_MentalBreak|BuiltInFallback|-
S1-empty|Off|Ratkin|MentalBreak|3|partial|SR_MentalBreak|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Call|1|all|SR_Call|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Call|1|partial|SR_Call|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Call|2|all|SR_Call|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Call|2|partial|SR_Call|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Call|3|all|SR_Call|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Call|3|partial|SR_Call|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Eat|1|all|SR_Eat|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Eat|1|partial|SR_Eat|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Eat|2|all|SR_Eat|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Eat|2|partial|SR_Eat|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Eat|3|all|SR_Eat|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Eat|3|partial|SR_Eat|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Sleep|1|all|SR_Sleep|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Sleep|1|partial|SR_Sleep|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Sleep|2|all|SR_Sleep|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Sleep|2|partial|SR_Sleep|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Sleep|3|all|SR_Sleep|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Sleep|3|partial|SR_Sleep|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Wounded|1|all|SR_Wounded|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Wounded|1|partial|SR_Wounded|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Wounded|2|all|SR_Wounded|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Wounded|2|partial|SR_Wounded|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Wounded|3|all|SR_Wounded|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Wounded|3|partial|SR_Wounded|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Select|1|all|SR_Select|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Select|1|partial|SR_Select|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Select|2|all|SR_Select|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Select|2|partial|SR_Select|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Select|3|all|SR_Select|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Select|3|partial|SR_Select|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Move|1|all|SR_Move|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Move|1|partial|SR_Move|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Move|2|all|SR_Move|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Move|2|partial|SR_Move|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Move|3|all|SR_Move|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Move|3|partial|SR_Move|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Social|1|all|SR_Social|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Social|1|partial|SR_Social|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Social|2|all|SR_Social|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Social|2|partial|SR_Social|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Social|3|all|SR_Social|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Social|3|partial|SR_Social|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Joy|1|all|SR_Joy|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Joy|1|partial|SR_Joy|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Joy|2|all|SR_Joy|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Joy|2|partial|SR_Joy|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Joy|3|all|SR_Joy|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Joy|3|partial|SR_Joy|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Death|1|all|SR_Death|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Death|1|partial|SR_Death|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Death|2|all|SR_Death|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Death|2|partial|SR_Death|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Death|3|all|SR_Death|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Death|3|partial|SR_Death|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Draft|1|all|SR_Draft|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Draft|1|partial|SR_Draft|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Draft|2|all|SR_Draft|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Draft|2|partial|SR_Draft|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Draft|3|all|SR_Draft|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Draft|3|partial|SR_Draft|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Undraft|1|all|SR_Undraft|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Undraft|1|partial|SR_Undraft|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Undraft|2|all|SR_Undraft|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Undraft|2|partial|SR_Undraft|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Undraft|3|all|SR_Undraft|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Undraft|3|partial|SR_Undraft|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Attack|1|all|SR_Attack|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Attack|1|partial|SR_Attack|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Attack|2|all|SR_Attack|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Attack|2|partial|SR_Attack|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Attack|3|all|SR_Attack|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Attack|3|partial|SR_Attack|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Work|1|all|SR_Work|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Work|1|partial|SR_Work|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Work|2|all|SR_Work|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Work|2|partial|SR_Work|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Work|3|all|SR_Work|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Work|3|partial|SR_Work|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Equip|1|all|SR_Equip|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Equip|1|partial|SR_Equip|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Equip|2|all|SR_Equip|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Equip|2|partial|SR_Equip|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Equip|3|all|SR_Equip|BuiltInFallback|-
S1-empty|Fallback|Ratkin|Equip|3|partial|SR_Equip|BuiltInFallback|-
S1-empty|Fallback|Ratkin|MentalBreak|1|all|SR_MentalBreak|BuiltInFallback|-
S1-empty|Fallback|Ratkin|MentalBreak|1|partial|SR_MentalBreak|BuiltInFallback|-
S1-empty|Fallback|Ratkin|MentalBreak|2|all|SR_MentalBreak|BuiltInFallback|-
S1-empty|Fallback|Ratkin|MentalBreak|2|partial|SR_MentalBreak|BuiltInFallback|-
S1-empty|Fallback|Ratkin|MentalBreak|3|all|SR_MentalBreak|BuiltInFallback|-
S1-empty|Fallback|Ratkin|MentalBreak|3|partial|SR_MentalBreak|BuiltInFallback|-
S1-empty|Remix|Ratkin|Call|1|all|SR_Call|BuiltInFallback|-
S1-empty|Remix|Ratkin|Call|1|partial|SR_Call|BuiltInFallback|-
S1-empty|Remix|Ratkin|Call|2|all|SR_Call|BuiltInFallback|-
S1-empty|Remix|Ratkin|Call|2|partial|SR_Call|BuiltInFallback|-
S1-empty|Remix|Ratkin|Call|3|all|SR_Call|BuiltInFallback|-
S1-empty|Remix|Ratkin|Call|3|partial|SR_Call|BuiltInFallback|-
S1-empty|Remix|Ratkin|Eat|1|all|SR_Eat|BuiltInFallback|-
S1-empty|Remix|Ratkin|Eat|1|partial|SR_Eat|BuiltInFallback|-
S1-empty|Remix|Ratkin|Eat|2|all|SR_Eat|BuiltInFallback|-
S1-empty|Remix|Ratkin|Eat|2|partial|SR_Eat|BuiltInFallback|-
S1-empty|Remix|Ratkin|Eat|3|all|SR_Eat|BuiltInFallback|-
S1-empty|Remix|Ratkin|Eat|3|partial|SR_Eat|BuiltInFallback|-
S1-empty|Remix|Ratkin|Sleep|1|all|SR_Sleep|BuiltInFallback|-
S1-empty|Remix|Ratkin|Sleep|1|partial|SR_Sleep|BuiltInFallback|-
S1-empty|Remix|Ratkin|Sleep|2|all|SR_Sleep|BuiltInFallback|-
S1-empty|Remix|Ratkin|Sleep|2|partial|SR_Sleep|BuiltInFallback|-
S1-empty|Remix|Ratkin|Sleep|3|all|SR_Sleep|BuiltInFallback|-
S1-empty|Remix|Ratkin|Sleep|3|partial|SR_Sleep|BuiltInFallback|-
S1-empty|Remix|Ratkin|Wounded|1|all|SR_Wounded|BuiltInFallback|-
S1-empty|Remix|Ratkin|Wounded|1|partial|SR_Wounded|BuiltInFallback|-
S1-empty|Remix|Ratkin|Wounded|2|all|SR_Wounded|BuiltInFallback|-
S1-empty|Remix|Ratkin|Wounded|2|partial|SR_Wounded|BuiltInFallback|-
S1-empty|Remix|Ratkin|Wounded|3|all|SR_Wounded|BuiltInFallback|-
S1-empty|Remix|Ratkin|Wounded|3|partial|SR_Wounded|BuiltInFallback|-
S1-empty|Remix|Ratkin|Select|1|all|SR_Select|BuiltInFallback|-
S1-empty|Remix|Ratkin|Select|1|partial|SR_Select|BuiltInFallback|-
S1-empty|Remix|Ratkin|Select|2|all|SR_Select|BuiltInFallback|-
S1-empty|Remix|Ratkin|Select|2|partial|SR_Select|BuiltInFallback|-
S1-empty|Remix|Ratkin|Select|3|all|SR_Select|BuiltInFallback|-
S1-empty|Remix|Ratkin|Select|3|partial|SR_Select|BuiltInFallback|-
S1-empty|Remix|Ratkin|Move|1|all|SR_Move|BuiltInFallback|-
S1-empty|Remix|Ratkin|Move|1|partial|SR_Move|BuiltInFallback|-
S1-empty|Remix|Ratkin|Move|2|all|SR_Move|BuiltInFallback|-
S1-empty|Remix|Ratkin|Move|2|partial|SR_Move|BuiltInFallback|-
S1-empty|Remix|Ratkin|Move|3|all|SR_Move|BuiltInFallback|-
S1-empty|Remix|Ratkin|Move|3|partial|SR_Move|BuiltInFallback|-
S1-empty|Remix|Ratkin|Social|1|all|SR_Social|BuiltInFallback|-
S1-empty|Remix|Ratkin|Social|1|partial|SR_Social|BuiltInFallback|-
S1-empty|Remix|Ratkin|Social|2|all|SR_Social|BuiltInFallback|-
S1-empty|Remix|Ratkin|Social|2|partial|SR_Social|BuiltInFallback|-
S1-empty|Remix|Ratkin|Social|3|all|SR_Social|BuiltInFallback|-
S1-empty|Remix|Ratkin|Social|3|partial|SR_Social|BuiltInFallback|-
S1-empty|Remix|Ratkin|Joy|1|all|SR_Joy|BuiltInFallback|-
S1-empty|Remix|Ratkin|Joy|1|partial|SR_Joy|BuiltInFallback|-
S1-empty|Remix|Ratkin|Joy|2|all|SR_Joy|BuiltInFallback|-
S1-empty|Remix|Ratkin|Joy|2|partial|SR_Joy|BuiltInFallback|-
S1-empty|Remix|Ratkin|Joy|3|all|SR_Joy|BuiltInFallback|-
S1-empty|Remix|Ratkin|Joy|3|partial|SR_Joy|BuiltInFallback|-
S1-empty|Remix|Ratkin|Death|1|all|SR_Death|BuiltInFallback|-
S1-empty|Remix|Ratkin|Death|1|partial|SR_Death|BuiltInFallback|-
S1-empty|Remix|Ratkin|Death|2|all|SR_Death|BuiltInFallback|-
S1-empty|Remix|Ratkin|Death|2|partial|SR_Death|BuiltInFallback|-
S1-empty|Remix|Ratkin|Death|3|all|SR_Death|BuiltInFallback|-
S1-empty|Remix|Ratkin|Death|3|partial|SR_Death|BuiltInFallback|-
S1-empty|Remix|Ratkin|Draft|1|all|SR_Draft|BuiltInFallback|-
S1-empty|Remix|Ratkin|Draft|1|partial|SR_Draft|BuiltInFallback|-
S1-empty|Remix|Ratkin|Draft|2|all|SR_Draft|BuiltInFallback|-
S1-empty|Remix|Ratkin|Draft|2|partial|SR_Draft|BuiltInFallback|-
S1-empty|Remix|Ratkin|Draft|3|all|SR_Draft|BuiltInFallback|-
S1-empty|Remix|Ratkin|Draft|3|partial|SR_Draft|BuiltInFallback|-
S1-empty|Remix|Ratkin|Undraft|1|all|SR_Undraft|BuiltInFallback|-
S1-empty|Remix|Ratkin|Undraft|1|partial|SR_Undraft|BuiltInFallback|-
S1-empty|Remix|Ratkin|Undraft|2|all|SR_Undraft|BuiltInFallback|-
S1-empty|Remix|Ratkin|Undraft|2|partial|SR_Undraft|BuiltInFallback|-
S1-empty|Remix|Ratkin|Undraft|3|all|SR_Undraft|BuiltInFallback|-
S1-empty|Remix|Ratkin|Undraft|3|partial|SR_Undraft|BuiltInFallback|-
S1-empty|Remix|Ratkin|Attack|1|all|SR_Attack|BuiltInFallback|-
S1-empty|Remix|Ratkin|Attack|1|partial|SR_Attack|BuiltInFallback|-
S1-empty|Remix|Ratkin|Attack|2|all|SR_Attack|BuiltInFallback|-
S1-empty|Remix|Ratkin|Attack|2|partial|SR_Attack|BuiltInFallback|-
S1-empty|Remix|Ratkin|Attack|3|all|SR_Attack|BuiltInFallback|-
S1-empty|Remix|Ratkin|Attack|3|partial|SR_Attack|BuiltInFallback|-
S1-empty|Remix|Ratkin|Work|1|all|SR_Work|BuiltInFallback|-
S1-empty|Remix|Ratkin|Work|1|partial|SR_Work|BuiltInFallback|-
S1-empty|Remix|Ratkin|Work|2|all|SR_Work|BuiltInFallback|-
S1-empty|Remix|Ratkin|Work|2|partial|SR_Work|BuiltInFallback|-
S1-empty|Remix|Ratkin|Work|3|all|SR_Work|BuiltInFallback|-
S1-empty|Remix|Ratkin|Work|3|partial|SR_Work|BuiltInFallback|-
S1-empty|Remix|Ratkin|Equip|1|all|SR_Equip|BuiltInFallback|-
S1-empty|Remix|Ratkin|Equip|1|partial|SR_Equip|BuiltInFallback|-
S1-empty|Remix|Ratkin|Equip|2|all|SR_Equip|BuiltInFallback|-
S1-empty|Remix|Ratkin|Equip|2|partial|SR_Equip|BuiltInFallback|-
S1-empty|Remix|Ratkin|Equip|3|all|SR_Equip|BuiltInFallback|-
S1-empty|Remix|Ratkin|Equip|3|partial|SR_Equip|BuiltInFallback|-
S1-empty|Remix|Ratkin|MentalBreak|1|all|SR_MentalBreak|BuiltInFallback|-
S1-empty|Remix|Ratkin|MentalBreak|1|partial|SR_MentalBreak|BuiltInFallback|-
S1-empty|Remix|Ratkin|MentalBreak|2|all|SR_MentalBreak|BuiltInFallback|-
S1-empty|Remix|Ratkin|MentalBreak|2|partial|SR_MentalBreak|BuiltInFallback|-
S1-empty|Remix|Ratkin|MentalBreak|3|all|SR_MentalBreak|BuiltInFallback|-
S1-empty|Remix|Ratkin|MentalBreak|3|partial|SR_MentalBreak|BuiltInFallback|-
S2-builtin-seed|Off|Ratkin|Call|1|all|SR_Call|BuiltInFallback|-
S2-builtin-seed|Off|Ratkin|Call|1|partial|SR_Call|BuiltInFallback|-
S2-builtin-seed|Off|Ratkin|Call|2|all|SR_Call|BuiltInFallback|-
S2-builtin-seed|Off|Ratkin|Call|2|partial|SR_Call|BuiltInFallback|-
S2-builtin-seed|Off|Ratkin|Call|3|all|SR_Call|BuiltInFallback|-
S2-builtin-seed|Off|Ratkin|Call|3|partial|SR_Call|BuiltInFallback|-
S2-builtin-seed|Off|Ratkin|Eat|1|all|SR_Eat|BuiltInFallback|-
S2-builtin-seed|Off|Ratkin|Eat|1|partial|SR_Eat|BuiltInFallback|-
S2-builtin-seed|Off|Ratkin|Eat|2|all|SR_Eat|BuiltInFallback|-
S2-builtin-seed|Off|Ratkin|Eat|2|partial|SR_Eat|BuiltInFallback|-
S2-builtin-seed|Off|Ratkin|Eat|3|all|SR_Eat|BuiltInFallback|-
S2-builtin-seed|Off|Ratkin|Eat|3|partial|SR_Eat|BuiltInFallback|-
S2-builtin-seed|Off|Ratkin|Sleep|1|all|SR_Sleep|BuiltInFallback|-
S2-builtin-seed|Off|Ratkin|Sleep|1|partial|SR_Sleep|BuiltInFallback|-
S2-builtin-seed|Off|Ratkin|Sleep|2|all|SR_Sleep|BuiltInFallback|-
S2-builtin-seed|Off|Ratkin|Sleep|2|partial|SR_Sleep|BuiltInFallback|-
S2-builtin-seed|Off|Ratkin|Sleep|3|all|SR_Sleep|BuiltInFallback|-
S2-builtin-seed|Off|Ratkin|Sleep|3|partial|SR_Sleep|BuiltInFallback|-
S2-builtin-seed|Off|Ratkin|Wounded|1|all|SR_Wounded|BuiltInFallback|-
S2-builtin-seed|Off|Ratkin|Wounded|1|partial|SR_Wounded|BuiltInFallback|-
S2-builtin-seed|Off|Ratkin|Wounded|2|all|SR_Wounded|BuiltInFallback|-
S2-builtin-seed|Off|Ratkin|Wounded|2|partial|SR_Wounded|BuiltInFallback|-
S2-builtin-seed|Off|Ratkin|Wounded|3|all|SR_Wounded|BuiltInFallback|-
S2-builtin-seed|Off|Ratkin|Wounded|3|partial|SR_Wounded|BuiltInFallback|-
S2-builtin-seed|Off|Ratkin|Select|1|all|SR_Select|BuiltInFallback|-
S2-builtin-seed|Off|Ratkin|Select|1|partial|SR_Select|BuiltInFallback|-
S2-builtin-seed|Off|Ratkin|Select|2|all|SR_Select|BuiltInFallback|-
S2-builtin-seed|Off|Ratkin|Select|2|partial|SR_Select|BuiltInFallback|-
S2-builtin-seed|Off|Ratkin|Select|3|all|SR_Select|BuiltInFallback|-
S2-builtin-seed|Off|Ratkin|Select|3|partial|SR_Select|BuiltInFallback|-
S2-builtin-seed|Off|Ratkin|Move|1|all|SR_Move|BuiltInFallback|-
S2-builtin-seed|Off|Ratkin|Move|1|partial|SR_Move|BuiltInFallback|-
S2-builtin-seed|Off|Ratkin|Move|2|all|SR_Move|BuiltInFallback|-
S2-builtin-seed|Off|Ratkin|Move|2|partial|SR_Move|BuiltInFallback|-
S2-builtin-seed|Off|Ratkin|Move|3|all|SR_Move|BuiltInFallback|-
S2-builtin-seed|Off|Ratkin|Move|3|partial|SR_Move|BuiltInFallback|-
S2-builtin-seed|Off|Ratkin|Social|1|all|SR_Social|BuiltInFallback|-
S2-builtin-seed|Off|Ratkin|Social|1|partial|SR_Social|BuiltInFallback|-
S2-builtin-seed|Off|Ratkin|Social|2|all|SR_Social|BuiltInFallback|-
S2-builtin-seed|Off|Ratkin|Social|2|partial|SR_Social|BuiltInFallback|-
S2-builtin-seed|Off|Ratkin|Social|3|all|SR_Social|BuiltInFallback|-
S2-builtin-seed|Off|Ratkin|Social|3|partial|SR_Social|BuiltInFallback|-
S2-builtin-seed|Off|Ratkin|Joy|1|all|SR_Joy|BuiltInFallback|-
S2-builtin-seed|Off|Ratkin|Joy|1|partial|SR_Joy|BuiltInFallback|-
S2-builtin-seed|Off|Ratkin|Joy|2|all|SR_Joy|BuiltInFallback|-
S2-builtin-seed|Off|Ratkin|Joy|2|partial|SR_Joy|BuiltInFallback|-
S2-builtin-seed|Off|Ratkin|Joy|3|all|SR_Joy|BuiltInFallback|-
S2-builtin-seed|Off|Ratkin|Joy|3|partial|SR_Joy|BuiltInFallback|-
S2-builtin-seed|Off|Ratkin|Death|1|all|SR_Death|BuiltInFallback|-
